"","...1","Match_D","Match_G","Match_H","Document group","Document name","Code","Beginning","End","Weight score","Segment","Author","Creation date","Area","Coverage %","clean_text"
"11",11,TRUE,FALSE,FALSE,"Ft. Carson","CARSON-R1-2","Leader.does.not.take.accountability.for.actions",186,186,0,"Interviewee:		Yeah, incompetent leaders who will like throw you under the bus for mistakes that they made, like, when we go to the field we have a certain uniform, it's knee pads, IOTV all of that stuff whatever.   And we have gotten like various new soldiers who came in and pretty much an incompetent squad leader gave them one uniform to wear when in reality it was something else, and when the higher up's ask hey, you know, why you in uniform, they'll be like, oh well, that's what our squad leader told us to do.  And then he or she will go and try to address the situation with them and then it will just – they'll be like, oh, I never said that, you know, I never put that out like that.  And then you throw a junior unlisted under the bus with a very high ranking person.  Sometimes what they don't ever think about is that, like, a Colonel or like a Sergeant Major can't punish that soldier, he has to go to the first sergeant and tell him, hey, you need to get your platoon sergeant right and have him   soldiers. And the platoon sergeant might go tell the squad leaders same thing or whatever, so it's pretty much – they don't even think about it until it's too late.","sujunjie",2000-11-02 11:42:00,1179,2.734611,"Yeah incompetent leaders who will throw you under the bus for mistakes that they made when we go to the field we have a certain uniform it is knee pads IOTV all of that stuff whatever. And we have gotten various new soldiers who came in and pretty much an incompetent squad leader gave them one uniform to wear when in reality it was something else and when the higher up's ask hey you know why you in uniform they will be well that is what our squad leader told us to do. And then he or she will go and try to address the situation with them and then it will they will be I never said that you know I never put that out that. And then you throw a junior unlisted under the bus with a very high ranking person. Sometimes what they do not ever think about is that a Colonel or a Sergeant Major can not punish that soldier he has to go to the first sergeant and tell him hey you need to get your platoon sergeant right and have him soldiers. And the platoon sergeant might go tell the squad leaders same thing or whatever so it is pretty much they do not even think about it until it is too late."
"12",12,TRUE,FALSE,FALSE,"Ft. Carson","CARSON-R1-2","Leader.drinkingdrunk.at.inappropriate.timeslocations",214,220,0,"Interviewee:		Yeah, because like a situation I can explain was like one time – they always say that if you drink whatever, don't drive and all that time whatever.  Like we were over at some friends house here and we were, we were all, you know, drinking and having like a social, a social event and they always say, if you drink too much, you know, call the DUI Response Team, call your squad leader, call anybody, you know, just don't do that. 
Interviewee:		And I had already gotten my charge by then, so this is beyond that, and I called the – my squad leader to come get me because, you know, I wasn't going to make a mistake again. 
Interviewee:		So I called him and when everybody found out that I called, oh, why you would do that, why'd you do that, you know.  I'm like I'm not going to sit here and get in trouble or make a fool of myself while I'm here.  So pretty much everybody had gotten across with me for doing the right thing, because they were just scared because all they – they come and ask you that you're drinking under age, they – my squad leader doesn't care about that, because she's an alcoholic herself, swear she is.  
Interviewee:		Oh no, oh no, I just don't talk to them.","sujunjie",2000-11-02 11:46:00,1388,3.219372,"Yeah because a situation I can explain was one time they always say that if you drink whatever do not drive and all that time whatever. we were over at some friends house here and we were we were all you know drinking and having a social a social event and they always say if you drink too much you know call the DUI Response Team call your squad leader call anybody you know do not do that. And I had already gotten my charge by then so this is beyond that and I called the my squad leader to come get me because you know I was not going to make a mistake again. So I called him and when everybody found out that I called why you would do that why did you do that you know. I am I am not going to sit here and get in trouble or make a fool of myself while I am here. So pretty much everybody had gotten across with me for doing the right thing because they were scared because all they they come and ask you that you are drinking under age they my squad leader does not care about that because she is an alcoholic herself swear she is. no no I do not talk to them."
"13",13,TRUE,FALSE,FALSE,"Ft. Carson","CARSON-R1-2","Unethical.leader.behavior",237,240,0,"
Interviewee:		You can ask almost – well, I don't know if they'll be brave enough to say it or whatever, because everybody's [inaudible] keeping their mouth shut properly.  But they do a lot of stuff that just [inaudible], especially like, I don't know, especially like when we're like in the field or something like that, it's like, they'll just go off for like no reason, or they'll violate, you know, regulations because they know that no junior is going to correct them, like, [inaudible] says your hands not   in your pockets.  But, you know, E5, E6's walk around here probably all the time and you tell them, hey, you know, you can't do that and they'll just look at you and just keep walking or something like that.  
Interviewee:		I don't care to be honest.","sujunjie",2000-11-02 11:49:00,1085,2.516584,"You can ask almost well I do not know if they will be brave enough to say it or whatever because everybody's keeping their mouth shut properly. But they do a lot of stuff that especially I do not know especially when we are in the field or something that it is they will go off for no reason or they will violate you know regulations because they know that no junior is going to correct them says your hands not in your pockets. But you know E5 E6's walk around here probably all the time and you tell them hey you know you can not do that and they will look at you and keep walking or something that. I do not care to be honest."
"14",14,TRUE,FALSE,FALSE,"Ft. Carson","CARSON-R1-2","Leader.makes.promises.with.no.intention.to.keep",277,280,0,"
Interviewee:		They always say that, like, protocol, what they're supposed to say is like say you're on Friday night and you've been drinking even, you know, at home.  Information, you'll say if you need that, you know, call me.  You can call them on Friday night and Saturday night and say most of them are young anyways, so they're probably out with you, or which is against the rules too, but they're probably out drunk themselves or something like that, and they always say if you need a ride, you know, call anybody, call sergeant major if you have to, but you got to go through the chain of command first.  I just feel like if I got picked up by the BC or the first sergeant or something like that that, like, he's going to go to platoon sergeant and be like hey, why couldn't you pick up this soldier, I mean we all family and all this.  And the platoon sergeant will come down on me, you know, saying that, saying, you know, why didn't you call me and you'd be like I called you three, four times almost on Friday night.  And they probably were drinking themselves, but in their defense it's their rank against yours.  
Interviewee:		So there's not much you going to say about it.","sujunjie",2000-11-02 11:54:00,1387,3.217052,"They always say that protocol what they are supposed to say is say you are on Friday night and you have been drinking even you know at home. Information you will say if you need that you know call me. You can call them on Friday night and Saturday night and say most of them are young anyways so they are probably out with you or which is against the rules too but they are probably out drunk themselves or something that and they always say if you need a ride you know call anybody call sergeant major if you have to but you got to go through the chain of command first. I feel if I got picked up by the BC or the first sergeant or something that that he is going to go to platoon sergeant and be hey why could not you pick up this soldier I mean we all family and all this. And the platoon sergeant will come down on me you know saying that saying you know why did not you call me and you would be I called you three four times almost on Friday night. And they probably were drinking themselves but in their defense it is their rank against yours. So there is not much you going to say about it."
"15",15,FALSE,FALSE,FALSE,"Ft. Carson","CARSON-R1-2","Leader.deliberately.behaving.against.Military.valuesstandards",299,305,0,"
Interviewee:		Yeah, like driving vehicles with no proper PPE, or like, the sergeant major says, he's the senior enlisted, he says at the final formation, you know, at this formation, you know, you guys go home, don't let your first sergeant know that no one else tell you you can't be, because it's coming from me directly.  And we're sitting here just doing nothing just because they haven't gone home yet, which [inaudible], like, NCO's are supposed to take care of the soldiers first and then themselves.  That's why in the field we always eat first before they do.  
Interviewee:		But in their eyes, if they have to be here, you know, doing paperwork whatever they're senior job it, we'll probably be eating just sitting around doing nothing, just sitting around because. 
Interviewee:		Yeah. 

","sujunjie",2000-11-02 11:59:00,1108,2.569931,"Yeah driving vehicles with no proper PPE or the sergeant major says he is the senior enlisted he says at the final formation you know at this formation you know you guys go home do not let your first sergeant know that no one else tell you you can not be because it is coming from me directly. And we are sitting here doing nothing because they haven't gone home yet which NCO's are supposed to take care of the soldiers first and then themselves. that is why in the field we always eat first before they do. But in their eyes if they have to be here you know doing paperwork whatever they are senior job it we will probably be eating sitting around doing nothing sitting around because. Yeah. "
"16",16,FALSE,FALSE,FALSE,"Ft. Carson","CARSON-R1-4","Unethical.leader.behavior",32,57,0,"nterviewee:                Not just the chain of command and they, in my mind, there's definitely a little apprehension.  I don't know why.
Interviewee:                I think it's just they don't care, they don't see it as, that's his, that's that soldier or that Sergeant or that officer's problem, it's not my problem. 
Interviewee:                Not necessarily they don't see it as it's a unit or an army system. 
Interviewee:                They're still getting their pay; they're still having a do thingy to do, so it doesn't necessarily affect them, although in the long run, hopefully it does have an effect on them. 
Interviewee:                I think it's a cultural and an age thing. 
Interviewee:                I think it's not just here, my personal opinion is, it is kind of an army wide type issue. 
Interviewee:                And it is geared towards a sense of ownership, like, this is our army, this is our division, this is our brigade that is our battalion, our company, our squad. 
Interviewee:                And it's a sense of ownership is probably the number one driver, because you could probably make the argument that some of those that are serving right now are serving because they see it as a job, not a way of life.  
Interviewee:                And it's their chosen profession. 
Interviewee:                And then I think that that's probably the reason that several won't speak up.  And then I think in some cases, I don't think they're afraid if they speak up something will happen, because they know somebody will take action.  It's just they don't want to tie themselves to the time invested in an investigation. 
Interviewee:                And they think it's, they get drawn into that, they're a part of it. 
Interviewee:                And it's not worth the time and the effort to report it.  It's just easier to look the other way. 
Interviewee:                Right. 
","jweinst",2000-11-02 17:25:00,2543,6.461038,"Not the chain of command and they in my mind there is definitely a little apprehension. I do not know why. I think it is they do not care they do not see it as that is his that is that soldier or that Sergeant or that officer's problem it is not my problem. Not necessarily they do not see it as it is a unit or an army system. they are still getting their pay; they are still having a do thingy to do so it does not necessarily affect them although in the long run hopefully it does have an effect on them. I think it is a cultural and an age thing. I think it is not here my personal opinion is it is kind of an army wide type issue. And it is geared towards a sense of ownership this is our army this is our division this is our brigade that is our battalion our company our squad. And it is a sense of ownership is probably the number one driver because you could probably make the argument that some of those that are serving right now are serving because they see it as a job not a way of life. And it is their chosen profession. And then I think that that is probably the reason that several will not speak up. And then I think in some cases I do not think they are afraid if they speak up something will happen because they know somebody will take action. it is they do not want to tie themselves to the time invested in an investigation. And they think it is they get drawn into that they are a part of it. And it is not worth the time and the effort to report it. it is easier to look the other way. Right. "
"17",17,FALSE,FALSE,FALSE,"Ft. Carson","CARSON-R1-5","Unethical.leader.behavior",176,180,0,"Interviewee:		[Inaudible].   You know we talk to a soldier, we always tell him like, for example, DUI's, you know, we cannot worry, it not a big deal.  [Inaudible] you were going out drinking where and I pick you up whenever you're ready.   And I do it all the time because I don't drink, you know, and things are going to [inaudible], [inaudible] only way you can, you know what I mean.  
Interviewee:		So it really pisses me off when I have that problem with a soldier.  As a matter of fact, the last soldier I had running like that, I would be choking, like literally. 
Interviewee:		Like I would choke, you know.  But because on the top of that, he was [inaudible] and he could [inaudible], you know what I mean, that really beat me up.","Norton Ohana",2000-11-01 15:44:00,787,1.420885,". You know we talk to a soldier we always tell him for example DUI's you know we cannot worry it not a big deal. you were going out drinking where and I pick you up whenever you are ready. And I do it all the time because I do not drink you know and things are going to only way you can you know what I mean. So it really pisses me off when I have that problem with a soldier. As a matter of fact the last soldier I had running that I would be choking literally. I would choke you know. But because on the top of that he was and he could you know what I mean that really beat me up."
"18",18,TRUE,FALSE,TRUE,"Ft. Carson","CARSON-R1-6","Unethical.leader.behavior",180,182,0,"Yeah, if it's just somebody slept in, oh they're at an appointment, you know, that one could be easily dismissed and believed.  Nobody is going to do the due diligence of okay, well then have them, you know, come to my office and show me their appointment slip or have a note from the teacher, you know, proving that they were there.  Nobody does the backwards tracking on that to make sure that they actually were, it's kind of just believed, but it does happen a lot or a lot of people in order to go, I can't even remember what the mileage distance is right now, but if you don't put in a pass, or you're not on leave, you're only allowed to go 150, I think it used to be 200 miles, but I think now it's 150 radius or around the base.  
Interviewee:		A lot of people will just openly, oh hey, I’m going to here or there outside of that radius a lot, so one, they're being dishonest; two, they may even tell their leadership, but then they just, like, well, all right just pretend you didn't tell me anything.","Nicole",2000-11-04 16:12:00,1034,1.987315,"Yeah if it is somebody slept in they are at an appointment you know that one could be easily dismissed and believed. Nobody is going to do the due diligence of okay well then have them you know come to my office and show me their appointment slip or have a note from the teacher you know proving that they were there. Nobody does the backwards tracking on that to make sure that they actually were it is kind of believed but it does happen a lot or a lot of people in order to go I can not even remember what the mileage distance is right now but if you do not put in a pass or you are not on leave you are only allowed to go 150 I think it used to be 200 miles but I think now it is 150 radius or around the base. A lot of people will openly hey I’m going to here or there outside of that radius a lot so one they are being dishonest; two they may even tell their leadership but then they well all right pretend you did not tell me anything."
"19",19,TRUE,FALSE,FALSE,"Ft. Carson","CARSON-R1-6","Unethical.leader.behavior",228,244,0,"If they're, you know, you just being a complete jerk to them and having no professionalism going on whatsoever, I tend to think that I could intervene in a situation like that, but I think it would be at the point where I would be so frustrated that I probably wouldn't even be professional back.  
Interviewee:		That that's probably what would get me in trouble. 
Interviewee:		I had a leader at my last unit that was doing that, we were doing PT and we were actually playing ultimate Frisbee and it can, you know, you can – I think there's a certain level of physicality that can be in certain sports.  Ultimate Frisbee is not one of those.  I don't know if you've ever player or are familiar with it?
Interviewee:		But I love it and there's very few times unless you're going up for the Frisbee where there's contact being made.  Well, this particular leader was, you know, he might have been goofing off in the first part, but it has just rained, the ground was muddy/wet and he was actively just pushing people out of the way to the affect that they were falling on the ground.  Not that they were getting injured, but I felt it was a bit much considering they didn't even have the Frisbee or they were just kind of, you know, trying to play the game and he was trying to push them down so they couldn't even catch it.  So I called him on it, because I just didn't – that didn't feel right to me. 	
Interviewee:		And he didn't like that, he, you know, locked me up at (inaudible) and proceeded to, you know, tell me what I was and wasn't going to tell him to do and so we left it at that.  And, you know, later I think we ended up talking about it.  I don't remember – everything ended up being fine, but, you know, I was at the point where I was going to go above him to tell somebody about it, because I did not feel that that was right. 
Interviewee:		But I guess that was just one example of something that I just absolutely did not care for and said something. 
Interviewee:		Yeah. 
Interviewee:		No, we kind of – I don't remember the specifics, I remember that specific event of playing and him being rough and me yelling at him, because it was one of those things where it just upset me so much that it wasn't like a hey, you know, I saw this happen, you know, I kind of, you know, didn't like it and he was literally pushing people.  So it was no – I felt there was nothing I could do in that situation, but to yell and get his attention and stop him from what he was doing. 
Interviewee:		And so – but I mean it is what it is I guess.  But yeah, I think nothing ever came of it. I mean he was a great guy, I really liked him, that was the weird thing, it was just like, why is he being such a jerk to everybody and why is he pushing people around and being so ridiculous about this.","Nicole",2000-11-04 18:10:00,3128,6.011916,"If they are you know you being a complete jerk to them and having no professionalism going on whatsoever I tend to think that I could intervene in a situation that but I think it would be at the point where I would be so frustrated that I probably would not even be professional back. That that is probably what would get me in trouble. I had a leader at my last unit that was doing that we were doing PT and we were actually playing ultimate Frisbee and it can you know you can I think there is a certain level of physicality that can be in certain sports. Ultimate Frisbee is not one of those. I do not know if you have ever player or are familiar with it? But I love it and there is very few times unless you are going up for the Frisbee where there is contact being made. Well this particular leader was you know he might have been goofing off in the first part but it has rained the ground was muddy/wet and he was actively pushing people out of the way to the affect that they were falling on the ground. Not that they were getting injured but I felt it was a bit much considering they did not even have the Frisbee or they were kind of you know trying to play the game and he was trying to push them down so they could not even catch it. So I called him on it because I did not that did not feel right to me. And he did not that he you know locked me up at and proceeded to you know tell me what I was and was not going to tell him to do and so we left it at that. And you know later I think we ended up talking about it. I do not remember everything ended up being fine but you know I was at the point where I was going to go above him to tell somebody about it because I did not feel that that was right. But I guess that was one example of something that I absolutely did not care for and said something. Yeah. No we kind of I do not remember the specifics I remember that specific event of playing and him being rough and me yelling at him because it was one of those things where it upset me so much that it was not a hey you know I saw this happen you know I kind of you know did not it and he was literally pushing people. So it was no I felt there was nothing I could do in that situation but to yell and get his attention and stop him from what he was doing. And so but I mean it is what it is I guess. But yeah I think nothing ever came of it. I mean he was a great guy I really him that was the weird thing it was why is he being such a jerk to everybody and why is he pushing people around and being so ridiculous about this."
"20",20,FALSE,FALSE,FALSE,"Ft. Carson","CARSON-R1-6","Leader.hypocrisy",298,300,0,"Interviewee:		No.  I can't think of any examples or at least none in my experience, but I always hear about the stories of people whose, you know, leaders, you know, preach don't drink and drive and then later on down the road they end up getting a DUI. 
Interviewee:		So you hear those stories, I have yet to experience something like.","Kelly",2000-11-06 16:32:00,359,0.689987,"No. I can not think of any examples or at least none in my experience but I always hear about the stories of people whose you know leaders you know preach do not drink and drive and then later on down the road they end up getting a DUI. So you hear those stories I have yet to experience something "
"21",21,TRUE,FALSE,FALSE,"Ft. Carson","CARSON-R1-7","Unethical.leader.behavior",258,278,0,"Interviewee:	But under 21, don’t do it. Or, like, the-the false reporting, whenever I heard about it, I’m like why-why—
Interviewee:	- cuz these are, like, E7s and E6s cuz, at the time, I was an E5—
Interviewee:	- um, they were doing the false reporting. I’m like—and afterwards, I’m like how-how would that happen, if, you know—cuz I guess the [fading voice 00:14:17] of that soldier was reporting them as being AWOL, and then when it hit, like, the E7 and, uh, well, the platoon ser and the first sergeant level, I—
Interviewee:	- I don’t know in between two, um, they were like, no, he’s here. Um, [cross talk 00:14:33]
Interviewee:	Right.
Interviewee:	Yeah.
Interviewee:	And I don’t know if it’s because numbers and to make the unit look good or whatever, but—
Interviewee:	Yeah.
Interviewee:	Right.
Interviewee:	Yeah. Yeah, afterwards, like, all this stuff came out, like—
Interviewee:	- doesn’t make sense, but—","joopark",2000-11-14 12:55:00,1234,2.827228,"But under 21 don’t do it. Or the the false reporting whenever I heard about it I’m why why cuz these are E7s and E6s cuz at the time I was an E5 they were doing the false reporting. I’m and afterwards I’m how how would that happen if you know cuz I guess the of that soldier was reporting them as being AWOL and then when it hit the E7 and well the platoon ser and the first sergeant level I I don’t know in between two they were no he’s here. Right. Yeah. And I don’t know if it’s because numbers and to make the unit look good or whatever but Yeah. Right. Yeah. Yeah afterwards all this stuff came out doesn’t make sense but "
"22",22,TRUE,FALSE,FALSE,"Ft. Carson","CARSON-R1-7","Unethical.leader.behavior",376,400,0,"Interviewee:	- try to keep it clean. Um, I would say this person would always be like, oh, well, um—he would line something up for whatever, and then, um, all of a sudden, like, tag me into it, and be like, uh, or like, taskings. Like, last-minute taskings.
Interviewee:	And then you have to do it. I’m like but I did it last week. But then, that whole position thing comes again, where, like—I mean, it’s-it’s not my current platoon ser [cross talk 00:22:02]
Interviewee:	It-it’s a prior experience.
Interviewee:	Um, but then it would be, like, um, but I just did it last weekend [cross talk 00:22:11] 
Interviewee:	- do it now. So I’m like, all right, so he either trusts me or doesn’t like me. 
Interviewee:	So, it’s kinda like I could—I could see it from both-both eye lenses, I guess you could say—
Interviewee:	- where he trusts only me to do this, so-so therefore, he wants me to do it—
Interviewee:	- or, um, he just doesn’t like me and he just wants me to work countless hours on stuff that I could be doing something else with my life.
Interviewee:	Mm-hmm.
Interviewee:	Right.
Interviewee:	Like volunteering or whatever he [cross talk 00:22:49]
Interviewee:	- what-whatever happens, yeah.
Interviewee:	Right.","joopark",2000-11-14 13:12:00,1720,3.940706,"try to keep it clean. I would say this person would always be well he would line something up for whatever and then all of a sudden tag me into it and be or taskings. last minute taskings. And then you have to do it. I’m but I did it last week. But then that whole position thing comes again where I mean it’s it’s not my current platoon ser It it’s a prior experience. but then it would be but I did it last weekend do it now. So I’m all right so he either trusts me or doesn’t me. So it’s kinda I could I could see it from both both eye lenses I guess you could say where he trusts only me to do this so so therefore he wants me to do it or he doesn’t me and he wants me to work countless hours on stuff that I could be doing something else with my life. . Right. volunteering or whatever he what whatever happens yeah. Right."
